timestamp,algorithm,packet_loss_percent,base_delay_ms,jitter_ms,trial_number,success,handshake_time_ms,error_reason
2026-04-25T12:28:57.155328,ECC_TLS,0,50,50,27,1,374.932,
2026-04-25T12:28:57.836276,ECC_TLS,0,50,50,28,1,577.419,
2026-04-25T12:28:58.643712,ECC_TLS,0,50,50,29,1,701.191,
2026-04-25T12:28:59.296960,ECC_TLS,0,50,50,30,1,548.968,
2026-04-25T12:29:00.268536,ECC_TLS,1,50,0,1,1,524.365,
2026-04-25T12:29:01.302181,ECC_TLS,1,50,0,2,1,927.654,
2026-04-25T12:29:01.927033,ECC_TLS,1,50,0,3,1,521.325,
2026-04-25T12:29:02.550801,ECC_TLS,1,50,0,4,1,518.333,
2026-04-25T12:29:03.282262,ECC_TLS,1,50,0,5,1,624.893,
2026-04-25T12:29:03.911731,ECC_TLS,1,50,0,6,1,526.805,
2026-04-25T12:29:04.534996,ECC_TLS,1,50,0,7,1,519.405,
2026-04-25T12:29:06.732931,ECC_TLS,1,50,0,8,1,2092.489,
2026-04-25T12:29:07.592953,ECC_TLS,1,50,0,9,1,731.968,
2026-04-25T12:29:08.235035,ECC_TLS,1,50,0,10,1,533.764,
2026-04-25T12:29:08.879746,ECC_TLS,1,50,0,11,1,539.768,
2026-04-25T12:29:09.652867,ECC_TLS,1,50,0,12,1,663.539,
2026-04-25T12:29:10.776563,ECC_TLS,1,50,0,13,1,1012.292,
2026-04-25T12:29:11.414666,ECC_TLS,1,50,0,14,1,529.772,
2026-04-25T12:29:12.432336,ECC_TLS,1,50,0,15,1,825.438,
2026-04-25T12:29:13.251897,ECC_TLS,1,50,0,16,1,683.176,
2026-04-25T12:29:14.215558,ECC_TLS,1,50,0,17,1,824.642,
2026-04-25T12:29:15.335340,ECC_TLS,1,50,0,18,1,992.716,
2026-04-25T12:29:16.253199,ECC_TLS,1,50,0,19,1,726.731,
2026-04-25T12:29:16.887944,ECC_TLS,1,50,0,20,1,530.233,
2026-04-25T12:29:17.888030,ECC_TLS,1,50,0,21,1,844.062,
2026-04-25T12:29:18.974203,ECC_TLS,1,50,0,22,1,962.786,
2026-04-25T12:29:19.613025,ECC_TLS,1,50,0,23,1,530.758,
2026-04-25T12:29:20.368116,ECC_TLS,1,50,0,24,1,533.758,
2026-04-25T12:29:21.593390,ECC_TLS,1,50,0,25,1,1011.247,
2026-04-25T12:29:22.544263,ECC_TLS,1,50,0,26,1,841.866,
2026-04-25T12:29:24.172386,ECC_TLS,1,50,0,27,1,1498.276,
2026-04-25T12:29:25.068090,ECC_TLS,1,50,0,28,1,789.332,
2026-04-25T12:29:25.955771,ECC_TLS,1,50,0,29,1,744.341,
2026-04-25T12:29:26.906412,ECC_TLS,1,50,0,30,1,799.573,
2026-04-25T12:29:28.135673,ECC_TLS,1,50,20,1,1,779.471,
2026-04-25T12:29:28.905503,ECC_TLS,1,50,20,2,1,661.003,
2026-04-25T12:29:29.569742,ECC_TLS,1,50,20,3,1,557.669,
2026-04-25T12:29:30.475129,ECC_TLS,1,50,20,4,1,644.695,
2026-04-25T12:29:32.277232,ECC_TLS,1,50,20,5,1,1696.64,
2026-04-25T12:29:32.942354,ECC_TLS,1,50,20,6,1,561.35,
2026-04-25T12:29:33.641414,ECC_TLS,1,50,20,7,1,587.933,
2026-04-25T12:29:34.309830,ECC_TLS,1,50,20,8,1,560.823,
